Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY AUTO","10,788.40","10,950.45","10,774.70","10,936.90","181.25","1.69","319.70","1,881.44","30,892.40","4,632.70","19.34","3.14"
"AMARAJABAT","623.95","638.25","621.20","637.00","18.20","2.94","11.76","74.39","1,025.55","584.25","-31.94","3.09"
"BOSCHLTD","16,890.00","17,420.00","16,725.00","17,330.00","457.85","2.71","0.53","90.94","19,250.00","12,467.00","35.19","7.18"
"TATAMOTORS","472.70","483.60","471.85","482.80","12.40","2.64","155.41","744.79","536.70","180.40","162.18","5.28"
"BALKRISIND","2,262.80","2,330.50","2,250.00","2,320.00","56.90","2.51","2.09","48.28","2,723.80","1,516.65","43.65","6.68"
"MARUTI","7,290.05","7,449.50","7,290.05","7,420.00","137.75","1.89","3.13","232.30","8,368.00","6,400.00","-2.53","4.98"
"EXIDEIND","165.90","168.60","165.35","168.20","3.05","1.85","13.37","22.43","219.30","152.60","-12.10","3.32"
"ASHOKLEY","120.60","123.65","120.50","122.65","2.05","1.70","89.89","109.91","153.50","93.75","29.38","2.46"
"BAJAJ-AUTO","3,230.00","3,264.70","3,217.00","3,251.00","50.20","1.57","2.48","80.46","4,361.40","3,027.05","-5.72","0.33"
"TVSMOTOR","615.70","630.50","615.70","625.00","9.30","1.51","7.28","45.52","813.95","480.00","28.47","-8.96"
"HEROMOTOCO","2,432.00","2,483.60","2,432.00","2,465.00","33.10","1.36","2.54","62.55","3,629.05","2,310.00","-20.52","0.64"
"EICHERMOT","2,558.00","2,604.20","2,548.55","2,588.00","31.00","1.21","4.07","105.14","3,037.00","2,303.70","2.81","9.18"
"MRF","72,011.00","73,699.25","72,011.00","72,860.00","740.45","1.03","0.06","47.27","98,599.95","68,700.00","-5.28","-2.37"
"M&M","834.80","845.00","830.20","836.90","7.60","0.92","15.29","128.46","979.00","704.35","16.12","0.17"
"BHARATFORG","694.15","702.85","692.10","697.20","3.30","0.48","11.18","78.07","847.95","513.35","34.70","0.51"
"TIINDIA","1,756.95","1,780.00","1,737.35","1,749.00","-8.40","-0.48","0.62","10.93","1,798.00","750.10","120.47","7.79"
