Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY FIN SERVICE","17,147.90","17,379.20","17,146.65","17,330.85","214.30","1.25","439.62","4,473.39","30,892.40","4,632.70","14.30","-1.16"
"KOTAKBANK","1,762.00","1,801.00","1,760.05","1,797.80","42.55","2.42","22.13","396.50","2,253.00","1,626.00","-10.91","-8.36"
"CHOLAFIN","512.25","522.60","510.00","520.20","11.50","2.26","12.06","62.34","667.40","376.35","35.15","-5.50"
"RECLTD","131.10","134.50","131.10","133.70","2.65","2.02","23.89","31.85","168.85","122.15","0.83","-0.63"
"ICICIGI","1,373.85","1,406.95","1,372.75","1,400.10","26.25","1.91","3.43","47.93","1,675.00","1,295.00","-7.28","-2.59"
"SBIN","454.25","461.40","453.10","460.20","8.50","1.88","100.06","459.33","542.30","269.50","66.20","-0.08"
"BAJAJFINSV","16,197.55","16,500.00","16,170.00","16,451.60","284.05","1.76","2.30","377.06","19,325.00","8,273.70","83.58","-4.56"
"HDFCAMC","2,415.95","2,449.95","2,411.00","2,449.00","40.45","1.68","1.18","28.70","3,365.00","2,280.00","-15.80","-2.48"
"HDFCLIFE","645.35","655.00","642.15","651.40","10.50","1.64","15.93","103.49","775.65","627.00","-3.60","-4.32"
"AXISBANK","672.95","686.50","671.20","679.85","11.00","1.64","55.87","380.05","866.90","616.00","8.76","3.69"
"ICICIPRULI","552.00","564.50","550.20","560.70","8.50","1.54","8.21","46.00","724.30","418.50","12.42","-5.45"
"SRTRANSFIN","1,204.70","1,231.50","1,201.90","1,216.00","17.80","1.49","10.58","128.74","1,696.40","1,032.40","17.03","-13.56"
"BAJFINANCE","6,882.00","6,999.00","6,875.55","6,968.05","96.95","1.41","7.70","535.39","8,050.00","4,362.00","30.63","-0.42"
"PFC","117.90","120.55","117.90","119.65","1.65","1.40","16.36","19.57","153.75","104.10","4.45","2.88"
"HDFCBANK","1,461.50","1,484.80","1,461.50","1,481.00","19.50","1.33","31.63","467.60","1,725.00","1,342.00","3.39","-0.84"
"M&MFIN","147.35","149.90","146.40","149.10","1.85","1.26","20.29","30.21","224.30","138.55","-14.43","-3.93"
"MUTHOOTFIN","1,474.00","1,501.90","1,474.00","1,495.00","15.50","1.05","3.19","47.67","1,721.95","1,090.00","23.30","4.82"
"HDFC","2,565.00","2,608.65","2,561.00","2,587.00","23.30","0.91","22.89","593.60","3,021.10","2,354.00","2.74","-3.22"
"PEL","2,616.50","2,668.45","2,615.95","2,638.00","21.30","0.81","3.76","99.39","3,014.95","1,303.60","83.73","9.08"
"ICICIBANK","736.55","746.25","736.55","740.80","5.10","0.69","69.73","517.15","867.00","512.00","40.10","3.70"
"SBILIFE","1,199.00","1,204.95","1,187.10","1,195.00","-0.20","-0.02","8.43","100.82","1,273.90","838.00","32.34","2.97"
