Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY FMCG","37,206.80","37,630.40","37,149.30","37,579.95","504.30","1.36","158.40","1,210.23","42,021.45","4,632.70","9.52","0.52"
"EMAMILTD","507.90","524.00","507.00","519.55","12.30","2.42","3.43","17.57","621.80","418.80","22.69","-1.42"
"VBL","867.30","897.00","863.25","882.05","20.75","2.41","1.78","15.70","1,016.00","569.37","-2.28","-1.05"
"UBL","1,547.70","1,591.95","1,547.45","1,585.00","37.30","2.41","2.21","34.90","1,785.80","1,051.40","36.65","5.36"
"TATACONSUM","730.00","745.00","729.05","743.60","15.60","2.14","8.65","63.95","889.00","554.25","25.11","-4.50"
"GODREJCP","955.00","974.15","952.95","967.45","17.10","1.80","7.67","74.02","1,138.00","646.15","29.14","4.80"
"HINDUNILVR","2,340.00","2,370.35","2,330.00","2,361.00","35.40","1.52","11.24","264.74","2,859.30","2,120.00","-1.89","1.87"
"NESTLEIND","19,375.00","19,814.95","19,350.20","19,690.00","283.45","1.46","0.40","78.37","20,609.15","16,002.10","7.13","2.81"
"DABUR","573.00","581.25","571.80","579.50","7.95","1.39","10.24","59.11","658.95","497.05","7.40","-2.60"
"COLPAL","1,464.70","1,484.90","1,461.65","1,481.70","20.00","1.37","3.81","56.33","1,823.40","1,392.85","-6.16","3.30"
"MARICO","508.50","516.00","508.00","513.50","6.45","1.27","9.14","46.88","607.70","379.10","27.28","-4.62"
"BRITANNIA","3,586.00","3,623.20","3,569.05","3,614.00","40.10","1.12","2.44","87.95","4,153.00","3,317.30","0.84","1.93"
"MCDOWELL-N","889.00","905.05","889.00","898.50","9.90","1.11","12.88","115.62","1,019.95","507.50","55.52","1.76"
"ITC","216.90","218.80","216.15","218.00","2.00","0.93","75.84","165.30","265.30","199.10","3.24","-1.42"
"RADICO","1,233.80","1,245.00","1,213.75","1,233.00","1.45","0.12","8.51","104.21","1,285.00","446.00","173.00","9.86"
"PGHH","15,380.00","15,700.00","15,302.55","15,400.00","-56.60","-0.37","0.16","25.58","16,314.30","10,950.00","37.71","2.39"
