Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY IT","38,708.15","38,861.10","38,468.40","38,701.00","42.20","0.11","163.13","3,143.68","38,897.60","4,632.70","59.07","10.44"
"MPHASIS","3,345.60","3,419.20","3,310.00","3,399.00","53.40","1.60","4.42","149.30","3,659.75","1,505.00","113.72","17.40"
"MINDTREE","4,755.00","4,788.90","4,724.00","4,775.00","41.40","0.87","5.37","255.72","5,060.00","1,550.20","192.95","10.31"
"LTI","7,324.80","7,362.00","7,252.20","7,335.00","42.50","0.58","1.94","142.04","7,564.95","3,525.00","100.35","7.71"
"LTTS","5,585.00","5,619.90","5,532.55","5,599.80","26.30","0.47","1.52","84.84","5,820.80","2,301.00","139.45","6.07"
"HCLTECH","1,320.00","1,329.45","1,308.95","1,319.45","2.40","0.18","22.32","294.45","1,377.75","891.00","40.26","15.88"
"WIPRO","715.80","718.80","709.10","715.30","1.20","0.17","42.75","305.09","739.85","381.20","86.08","12.25"
"TCS","3,742.80","3,760.00","3,731.30","3,740.00","6.25","0.17","12.07","452.01","3,989.90","2,845.00","28.55","5.97"
"COFORGE","5,890.00","5,923.45","5,820.60","5,870.00","9.35","0.16","2.77","162.40","6,030.00","2,300.00","117.84","8.07"
"INFY","1,890.00","1,898.35","1,871.65","1,893.00","0.15","0.01","46.19","871.78","1,909.80","1,231.00","51.83","10.53"
"TECHM","1,800.20","1,813.00","1,783.45","1,791.95","-8.00","-0.44","23.78","426.05","1,838.00","915.00","82.25","16.25"
