Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY MEDIA","2,197.70","2,228.95","2,197.70","2,218.80","21.55","0.98","251.72","543.32","30,892.40","1,409.05","35.87","2.20"
"SUNTV","489.00","501.60","488.35","499.60","11.75","2.41","8.85","44.01","612.00","450.00","3.98","-4.10"
"TV18BRDCST","44.00","46.00","43.90","44.90","1.05","2.39","67.41","30.27","55.80","26.25","44.61","8.98"
"HATHWAY","21.55","22.40","21.45","21.85","0.40","1.86","30.71","6.73","35.30","19.60","-33.18","9.25"
"PVR","1,252.00","1,307.95","1,252.00","1,294.00","20.60","1.62","13.81","176.92","1,839.00","988.35","0.31","-5.66"
"SAREGAMA","5,300.00","5,370.00","5,195.00","5,278.00","37.00","0.71","0.04","2.28","5,490.00","788.80","3416.32","23.68"
"ZEEL","319.10","323.00","318.35","320.25","2.15","0.68","78.67","252.18","378.70","166.80","46.13","-1.25"
"DISHTV","18.40","19.15","18.00","18.75","0.05","0.27","41.89","7.74","23.35","8.70","-","-"
"NETWORK18","91.00","92.00","89.55","90.40","0.15","0.17","8.02","7.28","114.80","34.50","150.07","26.26"
"INOXLEISUR","351.55","356.05","350.40","353.00","0.05","0.01","1.92","6.76","466.00","244.00","25.73","-11.81"
"NAZARA","2,328.00","2,349.00","2,270.00","2,283.00","-22.30","-0.97","0.40","9.15","3,356.00","1,432.00","-","-"
