Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY METAL","5,436.15","5,547.70","5,436.15","5,521.75","105.10","1.94","943.88","2,681.86","30,892.40","3,062.70","70.90","6.15"
"HINDALCO","455.50","477.35","455.50","474.75","25.10","5.58","182.58","859.60","551.85","224.55","99.98","15.02"
"NATIONALUM","98.10","101.60","98.00","100.80","3.20","3.28","205.16","206.43","127.95","41.00","142.60","14.09"
"VEDL","333.30","344.45","333.30","340.75","7.45","2.24","63.00","214.51","385.90","156.10","110.27","0.56"
"SAIL","105.55","108.45","105.50","107.35","2.20","2.09","219.97","236.40","151.30","55.30","53.91","7.30"
"JINDALSTEL","371.00","381.70","371.00","377.50","7.40","2.00","27.21","102.61","501.70","257.15","41.94","9.88"
"NMDC","131.60","134.40","131.15","133.50","2.10","1.60","42.96","57.16","213.20","103.65","15.19","0.49"
"JSWSTEEL","647.80","665.00","647.30","655.30","9.50","1.47","25.00","164.59","776.50","363.20","69.72","7.71"
"HINDCOPPER","123.00","127.50","122.85","124.40","1.75","1.43","53.86","67.62","196.75","53.60","99.68","11.72"
"TATASTEEL","1,105.00","1,123.50","1,102.65","1,112.40","11.40","1.04","36.87","411.28","1,534.50","596.00","73.69","3.85"
"ADANIENT","1,694.95","1,725.00","1,691.05","1,707.00","10.60","0.62","13.11","224.27","1,788.90","435.75","252.58","2.66"
"HINDZINC","317.00","318.35","316.05","317.00","1.35","0.43","2.63","8.34","408.60","237.20","32.53","-4.82"
"WELCORP","176.00","182.50","175.80","178.25","0.45","0.25","16.21","29.24","194.00","105.85","31.84","8.00"
"APLAPOLLO","1,001.00","1,007.50","988.00","999.00","1.25","0.13","2.04","20.39","1,114.55","402.95","19.59","8.12"
"COALINDIA","145.95","147.55","145.35","146.25","0.05","0.03","53.20","77.83","203.80","123.40","7.85","-3.78"
"RATNAMANI","1,954.65","1,954.65","1,917.00","1,945.00","0.10","0.01","0.08","1.59","2,305.30","1,451.20","23.68","-11.87"
