Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY MIDCAP 50","8,314.40","8,422.50","8,312.85","8,410.75","112.85","1.36","8,000.12","5,015.94","30,892.40","4,632.70","44.25","2.74"
"IDEA","14.15","15.70","14.05","15.30","1.30","9.29","6,356.87","946.54","16.80","4.55","50.00","38.46"
"BHEL","57.40","59.45","57.25","59.05","1.95","3.42","294.72","173.29","80.35","34.95","66.81","0.25"
"TRENT","1,042.50","1,069.90","1,029.55","1,063.90","31.05","3.01","4.52","47.58","1,209.95","585.00","57.02","4.88"
"BATAINDIA","1,820.00","1,892.85","1,820.00","1,871.00","53.90","2.97","7.24","134.90","2,262.00","1,263.60","18.34","-0.38"
"PAGEIND","39,633.80","40,745.20","39,593.20","40,581.70","1,153.60","2.93","0.19","76.06","41,775.00","26,864.55","48.45","5.71"
"BALKRISIND","2,262.80","2,330.50","2,250.00","2,320.00","56.90","2.51","2.09","48.28","2,723.80","1,516.65","43.65","6.68"
"CANBK","196.05","201.35","195.85","199.75","4.75","2.44","72.02","143.30","247.60","123.60","54.43","0.30"
"UBL","1,547.70","1,591.95","1,547.45","1,585.00","37.30","2.41","2.21","34.90","1,785.80","1,051.40","36.65","5.36"
"SUNTV","489.00","501.60","488.35","499.60","11.75","2.41","8.85","44.01","612.00","450.00","3.98","-4.10"
"RAMCOCEM","988.00","1,023.00","982.10","1,007.00","22.30","2.26","3.65","36.87","1,132.70","766.05","23.73","7.01"
"LICHSGFIN","363.40","372.30","363.05","369.95","8.10","2.24","11.68","43.18","542.45","339.75","2.68","-0.58"
"RECLTD","131.10","134.50","131.10","133.70","2.65","2.02","23.89","31.85","168.85","122.15","0.83","-0.63"
"AARTIIND","982.00","1,007.70","980.00","1,001.90","18.80","1.91","5.46","54.77","1,168.00","536.28","-17.84","6.89"
"IDFCFIRSTB","47.65","49.35","47.25","48.40","0.90","1.89","487.68","235.60","69.30","35.90","32.06","8.52"
"EXIDEIND","165.90","168.60","165.35","168.20","3.05","1.85","13.37","22.43","219.30","152.60","-12.10","3.32"
"VOLTAS","1,203.00","1,240.00","1,199.50","1,220.10","21.30","1.78","11.99","147.12","1,356.90","810.10","48.83","1.59"
"ASHOKLEY","120.60","123.65","120.50","122.65","2.05","1.70","89.89","109.91","153.50","93.75","29.38","2.46"
"GODREJPROP","1,853.25","1,881.95","1,848.15","1,871.55","31.10","1.69","3.92","73.29","2,598.00","1,200.00","34.28","-6.27"
"L&TFH","76.80","78.00","76.40","77.50","1.25","1.64","42.88","33.19","113.40","71.50","-16.76","2.99"
"MPHASIS","3,345.60","3,419.20","3,310.00","3,399.00","53.40","1.60","4.42","149.30","3,659.75","1,505.00","113.72","17.40"
"CONCOR","606.00","616.85","605.85","614.00","9.45","1.56","2.56","15.67","754.40","392.15","53.94","-0.97"
"TVSMOTOR","615.70","630.50","615.70","625.00","9.30","1.51","7.28","45.52","813.95","480.00","28.47","-8.96"
"SRTRANSFIN","1,204.70","1,231.50","1,201.90","1,216.00","17.80","1.49","10.58","128.74","1,696.40","1,032.40","17.03","-13.56"
"MANAPPURAM","162.55","166.40","162.30","164.90","2.35","1.45","23.44","38.63","224.50","139.10","-0.42","0.89"
"GUJGASLTD","628.00","638.45","626.45","634.80","8.85","1.41","4.69","29.64","786.00","342.05","66.09","-5.25"
"PFC","117.90","120.55","117.90","119.65","1.65","1.40","16.36","19.57","153.75","104.10","4.45","2.88"
"M&MFIN","147.35","149.90","146.40","149.10","1.85","1.26","20.29","30.21","224.30","138.55","-14.43","-3.93"
"TATAPOWER","218.90","222.00","218.35","220.95","2.60","1.19","127.38","281.15","267.85","74.45","191.49","1.91"
"BANKINDIA","50.45","51.60","50.40","51.45","0.60","1.18","27.77","14.25","101.40","47.90","4.57","-5.25"
"MRF","72,011.00","73,699.25","72,011.00","72,860.00","740.45","1.03","0.06","47.27","98,599.95","68,700.00","-5.28","-2.37"
"FEDERALBNK","82.20","83.50","82.10","83.05","0.85","1.03","75.08","62.28","107.65","66.25","23.49","-4.32"
"PETRONET","214.40","217.20","214.10","216.55","2.20","1.03","6.12","13.23","275.35","209.65","-12.15","-1.50"
"CUMMINSIND","932.40","944.40","931.00","940.65","8.25","0.88","1.44","13.58","1,064.45","567.15","64.55","7.07"
"MINDTREE","4,755.00","4,788.90","4,724.00","4,775.00","41.40","0.87","5.37","255.72","5,060.00","1,550.20","192.95","10.31"
"APOLLOTYRE","217.15","222.10","217.15","218.95","1.80","0.83","22.19","48.80","261.25","174.50","21.71","7.04"
"ASTRAL","2,275.00","2,314.00","2,260.00","2,288.00","16.65","0.73","1.87","42.84","2,630.00","1,411.20","33.25","4.11"
"ZEEL","319.10","323.00","318.35","320.25","2.15","0.68","78.67","252.18","378.70","166.80","46.13","-1.25"
"TORNTPOWER","549.15","555.00","545.30","552.50","3.45","0.63","3.93","21.67","606.55","296.50","72.87","0.24"
"SRF","2,408.00","2,428.15","2,405.20","2,418.00","14.45","0.60","3.49","84.35","2,538.00","1,026.21","-56.17","20.55"
"BHARATFORG","694.15","702.85","692.10","697.20","3.30","0.48","11.18","78.07","847.95","513.35","34.70","0.51"
"GLENMARK","526.00","531.25","524.40","527.30","2.45","0.47","7.39","39.08","690.95","442.05","5.62","0.67"
"LTTS","5,585.00","5,619.90","5,532.55","5,599.80","26.30","0.47","1.52","84.84","5,820.80","2,301.00","139.45","6.07"
"COFORGE","5,890.00","5,923.45","5,820.60","5,870.00","9.35","0.16","2.77","162.40","6,030.00","2,300.00","117.84","8.07"
"ALKEM","3,645.00","3,649.70","3,608.05","3,624.00","0.00","0.00","0.68","24.77","4,070.00","2,540.05","23.75","0.85"
"MFSL","982.20","987.15","969.05","981.15","-1.05","-0.11","2.02","19.83","1,148.05","659.10","43.47","4.35"
"HAL","1,211.25","1,232.00","1,208.50","1,209.55","-1.65","-0.14","5.69","69.31","1,566.00","823.00","45.54","-5.27"
"BEL","210.00","213.00","208.60","209.55","-0.40","-0.19","42.28","88.98","228.00","113.40","83.17","2.85"
"IRCTC","834.90","840.00","829.15","831.40","-1.60","-0.19","27.12","226.19","1,279.26","281.60","-42.06","4.56"
"ESCORTS","1,912.00","1,918.90","1,897.00","1,904.00","-4.85","-0.25","5.96","113.63","1,918.90","1,100.00","50.50","3.13"
"AUBANK","1,030.00","1,054.45","1,028.30","1,039.15","-4.20","-0.40","7.40","77.17","1,389.85","840.50","21.90","-5.20"
