Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY ENERGY","22,531.00","22,692.85","22,501.00","22,631.95","146.55","0.65","541.96","1,983.28","30,892.40","4,632.70","33.53","-0.84"
"ADANITRANS","1,685.00","1,750.00","1,685.00","1,748.00","64.60","3.84","0.55","9.51","2,045.00","397.15","969.77","-2.86"
"BPCL","376.50","387.40","376.50","385.50","7.55","2.00","38.90","149.71","503.00","357.40","0.69","4.19"
"ADANIGREEN","1,325.10","1,340.80","1,311.05","1,330.00","18.95","1.45","2.35","31.25","1,474.85","874.80","26.31","2.67"
"GAIL","128.00","129.90","128.00","129.30","1.65","1.29","41.61","53.72","171.30","121.20","5.04","-0.39"
"TATAPOWER","218.90","222.00","218.35","220.95","2.60","1.19","127.38","281.15","267.85","74.45","191.49","1.91"
"ONGC","140.45","142.95","139.45","142.10","1.60","1.14","63.94","90.76","172.75","87.75","52.39","0.00"
"IOC","110.60","112.60","110.60","111.50","0.95","0.86","58.12","64.91","141.50","86.75","22.66","-6.26"
"RELIANCE","2,373.00","2,383.90","2,360.00","2,368.50","9.40","0.40","43.74","1,036.81","2,751.35","1,830.00","18.69","-1.53"
"POWERGRID","204.00","206.20","203.55","204.50","-0.85","-0.41","73.82","151.23","216.45","136.88","7.52","-1.09"
"NTPC","126.80","126.80","124.00","124.40","-2.50","-1.97","91.55","114.23","152.10","88.15","25.53","-2.24"
