Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY MIDSML 400","10,829.65","10,935.70","10,827.30","10,928.50","135.50","1.26","14,445.46","17,503.84","30,892.40","4,632.70","51.77","3.65"
"IDFC","58.00","63.80","58.00","63.20","7.50","13.46","1,236.17","766.30","64.40","36.60","68.98","25.90"
"DHANUKA","720.00","855.00","720.00","811.50","86.75","11.97","15.04","123.08","1,053.90","658.00","3.38","9.81"
"IDEA","14.15","15.70","14.05","15.30","1.30","9.29","6,356.87","946.54","16.80","4.55","50.00","38.46"
"INDIGOPNTS","1,974.00","2,250.00","1,961.50","2,107.00","163.65","8.42","4.29","92.50","3,329.95","1,900.00","-","-"
"BALAMINES","3,180.00","3,435.00","3,171.40","3,432.00","266.00","8.40","2.87","96.19","5,223.55","908.00","267.00","14.50"
"ECLERX","2,453.25","2,642.00","2,451.70","2,620.00","182.95","7.51","1.66","42.74","2,642.00","865.05","190.64","19.73"
"JUBLINGREA","541.00","578.70","539.90","576.65","38.15","7.08","11.26","63.44","838.75","241.30","-","-"
"ALKYLAMINE","3,340.00","3,566.00","3,335.00","3,554.90","228.00","6.85","2.27","79.64","4,749.00","1,520.46","-7.58","11.53"
"NH","605.70","652.00","602.50","651.00","41.40","6.79","9.53","59.91","652.00","380.00","45.01","9.17"
"FLUOROCHEM","2,313.25","2,449.00","2,293.10","2,435.00","145.50","6.36","4.03","94.94","2,539.70","525.10","327.94","23.80"
"DHANI","157.50","169.90","157.00","164.50","8.00","5.11","34.54","56.42","395.95","139.20","-51.19","-0.54"
"GICRE","134.30","143.65","134.30","141.00","6.85","5.11","50.88","71.91","244.20","116.60","1.11","-0.53"
"TTML","206.35","206.35","201.55","206.35","9.80","4.99","13.45","27.75","206.35","7.60","2512.03","350.05"
"TATACOMM","1,407.90","1,499.00","1,405.05","1,464.00","66.65","4.77","27.94","409.45","1,540.00","950.05","36.07","12.68"
"MAXHEALTH","431.50","458.05","423.50","450.05","20.00","4.65","15.22","66.36","458.05","139.65","220.32","18.37"
"SUZLON","10.05","10.20","9.90","10.20","0.45","4.62","453.13","45.99","10.20","4.40","234.43","48.91"
"CENTURYTEX","888.90","932.40","885.00","917.45","39.65","4.52","13.69","125.35","1,004.00","384.30","131.83","19.72"
"IOLCP","463.80","492.45","461.75","482.00","20.60","4.46","8.34","40.20","783.80","424.30","-35.98","8.49"
"TASTYBITE","13,140.00","14,273.75","13,140.00","13,699.00","583.30","4.45","0.12","17.07","21,487.00","11,430.00","13.80","1.82"
"ABFRL","261.80","273.40","261.40","272.00","10.65","4.07","35.92","96.61","310.00","148.50","64.55","6.62"
"NIACL","137.60","144.80","136.80","140.50","5.50","4.07","23.77","33.60","197.00","124.50","8.79","-2.94"
"TRITURBINE","184.40","191.00","181.00","188.90","7.30","4.02","12.99","24.33","229.10","79.05","136.27","1.61"
"CARBORUNIV","944.40","989.00","937.10","975.75","36.75","3.91","2.23","21.57","1,010.20","385.75","141.10","6.33"
"AARTIDRUGS","525.50","549.50","524.75","542.80","20.10","3.85","2.42","13.03","841.80","484.00","-22.85","7.11"
"GAEL","164.15","174.80","163.80","169.50","6.20","3.80","4.20","7.13","201.60","114.85","45.18","6.94"
"RITES","256.65","266.00","256.65","265.05","9.70","3.80","1.82","4.76","317.90","232.20","-1.54","-4.54"
"SPICEJET","65.85","68.40","65.60","68.25","2.45","3.72","39.83","26.84","97.45","59.40","-28.27","-2.64"
"KSCL","549.35","584.75","542.00","569.20","19.85","3.61","3.72","21.03","816.65","472.10","9.32","13.94"
"TEAMLEASE","4,025.00","4,298.00","4,025.00","4,169.85","145.45","3.61","0.68","28.26","5,550.00","2,502.00","64.10","-2.54"
"RVNL","34.00","34.95","33.75","34.95","1.20","3.56","39.41","13.59","44.80","22.55","52.95","4.48"
"BHEL","57.40","59.45","57.25","59.05","1.95","3.42","294.72","173.29","80.35","34.95","66.81","0.25"
"NATIONALUM","98.10","101.60","98.00","100.80","3.20","3.28","205.16","206.43","127.95","41.00","142.60","14.09"
"FRETAIL","49.40","51.70","49.25","50.70","1.60","3.26","26.67","13.53","88.85","40.55","-34.37","2.22"
