Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY NEXT 50","41,641.05","42,258.30","41,638.80","42,217.90","640.40","1.54","2,044.66","4,584.55","45,290.80","4,632.70","30.04","1.04"
"BAJAJHLDNG","5,149.00","5,590.00","5,139.80","5,512.00","353.05","6.84","0.50","26.50","5,660.40","3,047.80","77.52","9.41"
"ADANITRANS","1,685.00","1,750.00","1,685.00","1,748.00","64.60","3.84","0.55","9.51","2,045.00","397.15","969.77","-2.86"
"DLF","381.85","391.80","381.50","391.50","12.30","3.24","39.49","153.41","449.70","228.50","65.92","4.46"
"INDUSTOWER","242.15","249.80","241.10","247.90","7.45","3.10","29.26","72.37","332.80","194.10","7.11","-12.85"
"ACC","2,163.00","2,238.50","2,162.45","2,223.80","60.55","2.80","4.68","103.66","2,589.00","1,584.20","34.92","-2.74"
"TORNTPHARM","3,182.80","3,298.50","3,182.80","3,278.85","87.90","2.75","3.58","116.73","3,298.50","2,311.10","17.40","7.78"
"BOSCHLTD","16,890.00","17,420.00","16,725.00","17,330.00","457.85","2.71","0.53","90.94","19,250.00","12,467.00","35.19","7.18"
"CHOLAFIN","512.25","522.60","510.00","520.20","11.50","2.26","12.06","62.34","667.40","376.35","35.15","-5.50"
"BANKBARODA","80.10","82.30","80.10","81.95","1.80","2.25","224.68","183.54","108.00","60.75","31.96","-4.43"
"VEDL","333.30","344.45","333.30","340.75","7.45","2.24","63.00","214.51","385.90","156.10","110.27","0.56"
"SAIL","105.55","108.45","105.50","107.35","2.20","2.09","219.97","236.40","151.30","55.30","53.91","7.30"
"JINDALSTEL","371.00","381.70","371.00","377.50","7.40","2.00","27.21","102.61","501.70","257.15","41.94","9.88"
"JUBLFOOD","3,530.00","3,610.00","3,515.05","3,590.80","69.45","1.97","3.34","119.62","4,590.00","2,543.95","33.88","-1.65"
"ICICIGI","1,373.85","1,406.95","1,372.75","1,400.10","26.25","1.91","3.43","47.93","1,675.00","1,295.00","-7.28","-2.59"
"AMBUJACEM","372.40","384.30","372.00","377.90","6.95","1.87","19.07","72.24","442.50","241.70","49.72","0.88"
"GODREJCP","955.00","974.15","952.95","967.45","17.10","1.80","7.67","74.02","1,138.00","646.15","29.14","4.80"
"INDIGO","1,990.00","2,025.00","1,981.80","2,014.50","34.95","1.77","4.17","83.59","2,380.00","1,502.30","19.22","5.75"
"NAUKRI","5,440.00","5,631.50","5,440.00","5,563.05","95.65","1.75","2.54","141.31","7,465.40","4,023.90","16.44","-4.17"
"HDFCAMC","2,415.95","2,449.95","2,411.00","2,449.00","40.45","1.68","1.18","28.70","3,365.00","2,280.00","-15.80","-2.48"
"BERGEPAINT","764.85","781.00","757.20","772.30","12.75","1.68","10.40","80.34","872.95","675.05","2.50","2.73"
"NMDC","131.60","134.40","131.15","133.50","2.10","1.60","42.96","57.16","213.20","103.65","15.19","0.49"
"ICICIPRULI","552.00","564.50","550.20","560.70","8.50","1.54","8.21","46.00","724.30","418.50","12.42","-5.45"
"ADANIGREEN","1,325.10","1,340.80","1,311.05","1,330.00","18.95","1.45","2.35","31.25","1,474.85","874.80","26.31","2.67"
"PIIND","2,980.05","3,048.00","2,980.05","3,032.00","41.80","1.40","1.26","38.12","3,534.90","1,981.00","37.20","5.66"
"DABUR","573.00","581.25","571.80","579.50","7.95","1.39","10.24","59.11","658.95","497.05","7.40","-2.60"
"COLPAL","1,464.70","1,484.90","1,461.65","1,481.70","20.00","1.37","3.81","56.33","1,823.40","1,392.85","-6.16","3.30"
"LUPIN","941.00","956.80","936.10","950.00","12.15","1.30","14.33","136.00","1,267.65","853.50","-2.82","7.42"
"GAIL","128.00","129.90","128.00","129.30","1.65","1.29","41.61","53.72","171.30","121.20","5.04","-0.39"
"BANDHANBNK","249.00","253.75","247.10","252.00","3.20","1.29","37.65","94.66","424.90","229.55","-37.95","-7.51"
"MARICO","508.50","516.00","508.00","513.50","6.45","1.27","9.14","46.88","607.70","379.10","27.28","-4.62"
"HINDPETRO","290.65","294.65","287.60","292.15","3.50","1.21","12.10","35.38","354.80","212.30","34.97","-1.00"
"AUROPHARMA","726.00","739.80","720.50","732.15","8.65","1.20","17.71","129.94","1,063.90","620.50","-19.26","10.89"
"PIDILITIND","2,434.90","2,470.00","2,434.90","2,463.00","29.10","1.20","1.78","43.78","2,532.00","1,663.80","40.77","11.66"
"MCDOWELL-N","889.00","905.05","889.00","898.50","9.90","1.11","12.88","115.62","1,019.95","507.50","55.52","1.76"
"APOLLOHOSP","4,980.00","5,056.80","4,953.00","5,025.00","54.25","1.09","5.04","252.93","5,935.40","2,351.20","109.69","-11.65"
"MUTHOOTFIN","1,474.00","1,501.90","1,474.00","1,495.00","15.50","1.05","3.19","47.67","1,721.95","1,090.00","23.30","4.82"
"PEL","2,616.50","2,668.45","2,615.95","2,638.00","21.30","0.81","3.76","99.39","3,014.95","1,303.60","83.73","9.08"
"IGL","468.00","472.55","465.50","470.00","3.75","0.80","20.11","94.45","602.05","454.00","-7.03","-2.94"
"CADILAHC","481.75","486.55","476.05","483.20","3.75","0.78","22.99","110.93","673.70","408.35","0.80","3.86"
"YESBANK","13.65","13.90","13.60","13.65","0.10","0.74","729.48","100.08","18.60","10.50","-23.10","10.08"
"BIOCON","363.95","367.00","361.60","363.90","2.50","0.69","17.89","65.22","474.35","314.80","-20.67","0.97"
"ADANIENT","1,694.95","1,725.00","1,691.05","1,707.00","10.60","0.62","13.11","224.27","1,788.90","435.75","252.58","2.66"
"SBICARD","915.50","930.40","915.50","928.00","5.75","0.62","9.56","88.65","1,165.00","832.00","9.07","-2.37"
"LTI","7,324.80","7,362.00","7,252.20","7,335.00","42.50","0.58","1.94","142.04","7,564.95","3,525.00","100.35","7.71"
"DMART","4,641.00","4,692.75","4,636.00","4,665.00","25.65","0.55","1.73","80.57","5,900.00","2,610.00","74.05","-0.97"
"PNB","37.25","37.60","37.05","37.35","0.20","0.54","314.12","117.29","48.20","31.90","14.05","0.13"
"HAVELLS","1,376.65","1,403.00","1,376.65","1,394.10","7.00","0.50","3.86","53.95","1,504.45","897.30","54.10","2.48"
"SIEMENS","2,359.35","2,386.00","2,353.75","2,359.00","4.35","0.18","3.48","82.48","2,576.85","1,557.95","49.93","9.62"
"PGHH","15,380.00","15,700.00","15,302.55","15,400.00","-56.60","-0.37","0.16","25.58","16,314.30","10,950.00","37.71","2.39"
"GLAND","3,873.00","3,906.00","3,831.00","3,850.00","-23.60","-0.61","0.90","34.83","4,350.00","2,071.00","63.76","7.38"
