Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY PHARMA","14,164.60","14,254.10","14,133.40","14,223.00","87.50","0.62","180.48","1,641.93","30,892.40","4,632.70","10.91","4.10"
"TORNTPHARM","3,182.80","3,298.50","3,182.80","3,278.85","87.90","2.75","3.58","116.73","3,298.50","2,311.10","17.40","7.78"
"LUPIN","941.00","956.80","936.10","950.00","12.15","1.30","14.33","136.00","1,267.65","853.50","-2.82","7.42"
"SUNPHARMA","834.45","850.95","834.00","845.00","10.55","1.26","33.47","282.38","851.00","550.40","44.69","12.13"
"AUROPHARMA","726.00","739.80","720.50","732.15","8.65","1.20","17.71","129.94","1,063.90","620.50","-19.26","10.89"
"NATCOPHARM","901.00","906.00","891.60","904.80","10.00","1.12","3.85","34.59","1,189.00","771.50","-6.58","8.02"
"DIVISLAB","4,649.00","4,690.00","4,630.00","4,677.00","49.10","1.06","2.94","137.25","5,425.10","3,153.30","23.09","-4.14"
"CADILAHC","481.75","486.55","476.05","483.20","3.75","0.78","22.99","110.93","673.70","408.35","0.80","3.86"
"BIOCON","363.95","367.00","361.60","363.90","2.50","0.69","17.89","65.22","474.35","314.80","-20.67","0.97"
"ABBOTINDIA","19,381.95","19,604.50","19,381.95","19,498.00","116.05","0.60","0.06","12.06","23,934.45","13,959.80","24.76","2.15"
"PFIZER","5,030.00","5,085.00","5,022.00","5,054.10","24.95","0.50","0.22","11.09","6,175.00","4,330.00","-1.14","-2.74"
"GLENMARK","526.00","531.25","524.40","527.30","2.45","0.47","7.39","39.08","690.95","442.05","5.62","0.67"
"LAURUSLABS","540.10","544.85","536.65","539.65","1.70","0.32","10.30","55.69","723.75","333.05","54.16","6.09"
"APLLTD","801.95","809.75","795.65","801.00","1.30","0.16","2.08","16.69","1,120.00","720.35","-22.47","-0.71"
"DRREDDY","4,904.00","4,931.05","4,876.50","4,905.65","0.95","0.02","2.89","141.55","5,614.60","4,135.00","-5.13","4.91"
"ALKEM","3,645.00","3,649.70","3,608.05","3,624.00","0.00","0.00","0.68","24.77","4,070.00","2,540.05","23.75","0.85"
"STAR","450.00","451.50","445.00","446.50","-0.85","-0.19","5.29","23.73","999.00","403.30","-49.89","-8.48"
"IPCALAB","2,180.00","2,190.00","2,152.50","2,167.00","-9.45","-0.43","1.66","36.01","2,766.20","1,785.40","-0.39","3.18"
"GLAND","3,873.00","3,906.00","3,831.00","3,850.00","-23.60","-0.61","0.90","34.83","4,350.00","2,071.00","63.76","7.38"
"GRANULES","337.40","344.80","332.05","336.00","-2.30","-0.68","11.86","40.22","404.80","280.50","-7.53","11.78"
"CIPLA","955.00","957.25","942.00","944.05","-8.70","-0.91","20.39","193.17","1,005.00","738.10","14.60","-2.81"
