Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY PVT BANK","17,871.30","18,112.95","17,870.60","18,041.85","187.05","1.05","1,697.14","3,601.89","30,892.40","4,632.70","4.51","-0.94"
"KOTAKBANK","1,762.00","1,801.00","1,760.05","1,797.80","42.55","2.42","22.13","396.50","2,253.00","1,626.00","-10.91","-8.36"
"IDFCFIRSTB","47.65","49.35","47.25","48.40","0.90","1.89","487.68","235.60","69.30","35.90","32.06","8.52"
"AXISBANK","672.95","686.50","671.20","679.85","11.00","1.64","55.87","380.05","866.90","616.00","8.76","3.69"
"HDFCBANK","1,461.50","1,484.80","1,461.50","1,481.00","19.50","1.33","31.63","467.60","1,725.00","1,342.00","3.39","-0.84"
"BANDHANBNK","249.00","253.75","247.10","252.00","3.20","1.29","37.65","94.66","424.90","229.55","-37.95","-7.51"
"FEDERALBNK","82.20","83.50","82.10","83.05","0.85","1.03","75.08","62.28","107.65","66.25","23.49","-4.32"
"ICICIBANK","736.55","746.25","736.55","740.80","5.10","0.69","69.73","517.15","867.00","512.00","40.10","3.70"
"INDUSINDBK","881.50","892.90","878.40","887.85","2.45","0.28","36.06","319.53","1,242.00","789.00","-1.25","0.55"
"CUB","136.50","136.55","134.30","134.90","-1.05","-0.77","15.52","21.00","189.70","128.70","-24.26","-6.77"
"RBLBANK","128.20","133.25","123.80","127.70","-3.00","-2.30","865.79","1,107.52","274.30","123.80","-45.08","-30.08"
