Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY PSU BANK","2,497.15","2,540.45","2,496.80","2,530.40","40.20","1.61","929.21","987.06","30,892.40","1,740.20","43.66","-1.16"
"CANBK","196.05","201.35","195.85","199.75","4.75","2.44","72.02","143.30","247.60","123.60","54.43","0.30"
"BANKBARODA","80.10","82.30","80.10","81.95","1.80","2.25","224.68","183.54","108.00","60.75","31.96","-4.43"
"SBIN","454.25","461.40","453.10","460.20","8.50","1.88","100.06","459.33","542.30","269.50","66.20","-0.08"
"PSB","16.05","16.25","15.95","16.15","0.25","1.57","3.02","0.49","23.75","12.70","23.28","-2.12"
"UNIONBANK","42.80","43.65","42.75","43.45","0.65","1.52","58.92","25.59","54.80","29.20","35.99","1.05"
"INDIANB","138.25","141.15","138.25","139.60","1.70","1.23","12.81","17.92","194.95","84.60","60.37","-2.24"
"BANKINDIA","50.45","51.60","50.40","51.45","0.60","1.18","27.77","14.25","101.40","47.90","4.57","-5.25"
"UCOBANK","12.95","13.05","12.90","13.05","0.15","1.16","14.11","1.83","16.35","10.75","3.16","0.77"
"MAHABANK","19.15","19.35","19.05","19.25","0.20","1.05","17.73","3.41","32.00","12.95","47.51","0.26"
"PNB","37.25","37.60","37.05","37.35","0.20","0.54","314.12","117.29","48.20","31.90","14.05","0.13"
"CENTRALBK","21.30","21.55","21.20","21.25","0.00","0.00","24.04","5.13","29.65","12.50","54.55","-0.47"
"IOB","20.40","20.65","20.35","20.35","0.00","0.00","43.14","8.83","29.00","10.20","93.81","-2.40"
"J&KBANK","36.55","37.40","36.25","36.35","-0.10","-0.27","16.79","6.15","48.30","22.50","58.39","-1.09"
