Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY REALTY","480.95","486.90","480.50","484.15","5.80","1.21","125.62","484.14","30,892.40","298.35","56.15","-0.71"
"DLF","381.85","391.80","381.50","391.50","12.30","3.24","39.49","153.41","449.70","228.50","65.92","4.46"
"GODREJPROP","1,853.25","1,881.95","1,848.15","1,871.55","31.10","1.69","3.92","73.29","2,598.00","1,200.00","34.28","-6.27"
"PRESTIGE","467.70","479.40","467.70","474.35","7.90","1.69","3.09","14.63","522.00","261.60","79.07","12.47"
"OBEROIRLTY","852.00","869.40","851.00","860.00","13.35","1.58","5.05","43.50","1,051.90","510.00","51.42","3.27"
"SOBHA","893.05","904.15","880.60","894.00","7.10","0.80","2.62","23.38","980.00","347.60","133.73","4.37"
"IBREALEST","157.50","160.60","156.75","157.30","0.50","0.32","56.99","90.28","195.90","72.50","98.36","-6.15"
"PHOENIXLTD","990.50","1,004.75","973.80","988.00","0.60","0.06","1.50","14.80","1,195.00","652.80","29.48","4.24"
"LODHA","1,247.00","1,261.65","1,220.20","1,238.00","-2.70","-0.22","0.87","10.79","1,539.00","422.60","-","-"
"SUNTECK","496.95","509.95","482.55","491.00","-5.15","-1.04","7.94","39.53","524.40","250.00","37.90","13.37"
"BRIGADE","500.00","508.80","485.00","491.00","-7.90","-1.58","4.15","20.53","528.80","221.40","99.51","-2.28"
